track_pos,track_artist_name,track_track_uri,track_artist_uri,track_track_name,track_album_uri,track_duration_ms,track_album_name,playlist_pid,playlist_name,playlist_description,playlist_modified_at,playlist_num_artists,playlist_num_albums,playlist_num_tracks,playlist_num_followers,playlist_num_edits,playlist_duration_ms,playlist_collaborative
0,The Jackson 5,spotify:track:6cb0HzFQPN4BGADOmSzPCw,spotify:artist:2iE18Oxc8YSumAU232n4rW,ABC,spotify:album:4GuzZh2dtsOjG3sMkx52eR,174866,ABC,2000,party party,,1446854400,116,142,152,1,3,39413578,False
1,Streetlight Manifesto,spotify:track:0HBvwy7XVhrkQljkCONgsq,spotify:artist:1OKOTYGoCE2buxTYMegJp7,Point/Counterpoint,spotify:album:3phH2ZoACvpLVcPtyIk8jp,327920,Everything Goes Numb,2000,party party,,1446854400,116,142,152,1,3,39413578,False
2,Michael Jackson,spotify:track:5ChkMS8OtdzJeqyybCc9R5,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Billie Jean,spotify:album:1C2h7mLntPSeVYciMRTF4a,293826,Thriller 25 Super Deluxe Edition,2000,party party,,1446854400,116,142,152,1,3,39413578,False
3,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,spotify:artist:7oPftvlwr6VrsViSDV7fJY,Basket Case,spotify:album:4uG8q3GPuWHQlRbswMIRS6,181533,Dookie,2000,party party,,1446854400,116,142,152,1,3,39413578,False
4,The White Stripes,spotify:track:1jNOi6m3Hn8nLEeHCp5Msr,spotify:artist:4F84IBURUo98rz4r61KF70,Seven Nation Army,spotify:album:4teFaDSeFHYXZjZJaZGrAO,231800,Elephant,2000,party party,,1446854400,116,142,152,1,3,39413578,False
5,Bowling For Soup,spotify:track:5oQcOu1omDykbIPSdSQQNJ,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,1985,spotify:album:43jBR9MNJk5AUuB56M0pRF,193000,A Hangover You Don't Deserve,2000,party party,,1446854400,116,142,152,1,3,39413578,False
6,Flosstradamus,spotify:track:4NZg8df9BxJ6spPDnr6Z9T,spotify:artist:2FmzVitXZjIkFolH8HXd4j,Rollup - Baauer Remix,spotify:album:1pLo9QTyw1PgVaLbJNomPh,191053,Ultra Trap,2000,party party,,1446854400,116,142,152,1,3,39413578,False
7,JAY Z,spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,Dirt Off Your Shoulder,spotify:album:4FWvo9oS4gRgHtAwDwUjiO,245173,The Black Album,2000,party party,,1446854400,116,142,152,1,3,39413578,False
8,Zapp,spotify:track:3k0Jp5IYHtBeSNKUEOqE0i,spotify:artist:396Kh0m4wGUvcMUULw71yi,"So Ruff, So Tuff",spotify:album:3aUZ0iLjcePsDggYsZAGBZ,215840,All The Greatest Hits,2000,party party,,1446854400,116,142,152,1,3,39413578,False
9,Red Hot Chili Peppers,spotify:track:2aibwv5hGXSgw7Yru8IYTO,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,Snow (Hey Oh) - Hey Oh Album Version,spotify:album:7xl50xr9NDkd3i2kBbzsNZ,335066,Stadium Arcadium,2000,party party,,1446854400,116,142,152,1,3,39413578,False
10,Warren Zevon,spotify:track:6kotXaSQaGYxE62hVpdHWu,spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx,Werewolves Of London - 2007 Remastered Version,spotify:album:03WJAI8NnJHvCNqnlLw8kg,209466,Excitable Boy,2000,party party,,1446854400,116,142,152,1,3,39413578,False
11,Spin Doctors,spotify:track:0cuq829zRNq4AEdmDJA4aw,spotify:artist:2PSiyldxmJze7xiqbz658m,Two Princes,spotify:album:3jx5C8Z66FwdjNkqsSDBQh,256946,Pocket Full Of Kryptonite (Anniversary Edition),2000,party party,,1446854400,116,142,152,1,3,39413578,False
12,Sublime,spotify:track:4GCd7d7GE23S9Xla1mqaqo,spotify:artist:0EdvGhlC1FkGItLOWQzG4J,Jailhouse,spotify:album:243wqukvimLglvClDVsfHJ,293293,Sublime,2000,party party,,1446854400,116,142,152,1,3,39413578,False
13,Ram Jam,spotify:track:6kooDsorCpWVMGc994XjWN,spotify:artist:6FITmSxIMsk6TfulFiCIIz,Black Betty,spotify:album:4z2REZpvRsVMpHFrsIz7PD,238973,Ram Jam,2000,party party,,1446854400,116,142,152,1,3,39413578,False
14,deadmau5,spotify:track:2lXzgU19U9cSZLJtawjob6,spotify:artist:2CIMQHirSU0MQqyYHq0eOx,Moar Ghosts 'n' Stuff,spotify:album:3eNZDL2rqTVvmiC1f0yFwF,297186,For Lack of a Better Name,2000,party party,,1446854400,116,142,152,1,3,39413578,False
15,People Under The Stairs,spotify:track:4MbV8zrWudQflnbiIzp29t,spotify:artist:0av074qUwLn5eyzwqoq3xh,Acid Raindrops,spotify:album:6wRasCHEWubnqxdDlUf7mo,264152,Acid Raindrops,2000,party party,,1446854400,116,142,152,1,3,39413578,False
16,The Roots,spotify:track:2CIRyBgH4ybwRRrAi45hbx,spotify:artist:78xUyw6FkVZrRAtziFdtdu,Guns Are Drawn,spotify:album:1ZLd3CcWtnSI18EfBIhTKa,315786,The Tipping Point,2000,party party,,1446854400,116,142,152,1,3,39413578,False
17,50 Cent,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,Disco Inferno,spotify:album:2pidzXTaHV4WaIJYRxKDCH,214226,The Massacre,2000,party party,,1446854400,116,142,152,1,3,39413578,False
18,R. Kelly,spotify:track:5dNfHmqgr128gMY2tc5CeJ,spotify:artist:2mxe0TnaNL039ysAj51xPQ,Ignition - Remix,spotify:album:35Ea7OWXZPZB1vAPiaEGOM,186066,Chocolate Factory,2000,party party,,1446854400,116,142,152,1,3,39413578,False
19,Joe Walsh,spotify:track:2wvMC5EyaaYQwBfiwwY2xE,spotify:artist:5bDxAyJiTYBat1YnFJhvEK,Life's Been Good,spotify:album:5yqBTSoJqE9EfApl2Pptva,536226,"But Seriously, Folks...",2000,party party,,1446854400,116,142,152,1,3,39413578,False
20,Blitzen Trapper,spotify:track:6tbkCukDV2wEiyg42ZJJbC,spotify:artist:72XY3HrDdFfZXNZFCT9Zh1,Black River Killer,spotify:album:2X5LfrkRtEik2jGgaDDRMO,208120,Furr,2000,party party,,1446854400,116,142,152,1,3,39413578,False
21,Kanye West,spotify:track:1s16lVXTAFSS4Nm3Ygd1Qu,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Amazing,spotify:album:6iFQqMVZ6eLQESfdkIzVXO,238333,808s & Heartbreak,2000,party party,,1446854400,116,142,152,1,3,39413578,False
22,David Bowie,spotify:track:7uPmQttafLiJyju14JREY4,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,Young Americans - 2016 Remastered Version,spotify:album:0lITGovWgaQGi42EfqcE5P,313706,Young Americans,2000,party party,,1446854400,116,142,152,1,3,39413578,False
23,David Bowie,spotify:track:1PehfITh0TTRx3LkDdV4h3,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,Fame - 2016 Remastered Version,spotify:album:0lITGovWgaQGi42EfqcE5P,261373,Young Americans,2000,party party,,1446854400,116,142,152,1,3,39413578,False
24,Hardwell,spotify:track:58DXujtdftJjcMRhwHDwhr,spotify:artist:6BrvowZBreEkXzJQMpL174,How We Do - Radio Edit,spotify:album:47U1W4r37SuXMVMQR2sErh,180004,I Am Hardwell,2000,party party,,1446854400,116,142,152,1,3,39413578,False
25,Hardwell,spotify:track:3EWuyYElhVOPUqB8w2uLEP,spotify:artist:6BrvowZBreEkXzJQMpL174,Never Say Goodbye - Radio Edit,spotify:album:0YjpA8s3oEM6jGTAOr7Pw0,205360,Never Say Goodbye,2000,party party,,1446854400,116,142,152,1,3,39413578,False
26,The Doors,spotify:track:5piJiL6aRhvrKBa9YuEfS9,spotify:artist:22WZ7M8sxp5THdruNY3gXt,Peace Frog,spotify:album:6AFLOkpJjFF652jevcSOZX,178773,Morrison Hotel,2000,party party,,1446854400,116,142,152,1,3,39413578,False
27,Martin Garrix,spotify:track:6JEntXLt4z98CcDtIH9sU7,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,Animals - Extended,spotify:album:55HXtmTsfepv0mY9vIIFhi,303826,Animals,2000,party party,,1446854400,116,142,152,1,3,39413578,False
28,alt-J,spotify:track:7DdXf9x75iEVCHWfoRwRuR,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,Fitzpleasure,spotify:album:6k3vC8nep1BfqAIJ81L6OL,219400,An Awesome Wave,2000,party party,,1446854400,116,142,152,1,3,39413578,False
29,Slightly Stoopid,spotify:track:28OkLLntKaxV9Fxk79sQkD,spotify:artist:6MxlVTY6PmY8Nyn16fvxtb,Officer,spotify:album:6SivmmHM5n3CCsU99XDFYi,231733,Everything You Need,2000,party party,,1446854400,116,142,152,1,3,39413578,False
30,Nas,spotify:track:1AHfovSnGPVYKaahRtA0U6,spotify:artist:20qISvAhX20dpIbOOzGK3q,The Message,spotify:album:78Fgb88MY0ECc4GVMejqTg,234093,It Was Written,2000,party party,,1446854400,116,142,152,1,3,39413578,False
31,Avicii,spotify:track:3zKST4nk4QJE77oLjUZ0Ng,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,Hey Brother,spotify:album:02h9kO2oLKnLtycgbElKsw,255093,True,2000,party party,,1446854400,116,142,152,1,3,39413578,False
32,The Notorious B.I.G.,spotify:track:7KwZNVEaqikRSBSpyhXK2j,spotify:artist:5me0Irg2ANcsgc93uaYrpb,Hypnotize - 2014 Remastered Version,spotify:album:7dRdaGSxgcBdJnrOviQRuB,229826,Life After Death (Remastered Edition),2000,party party,,1446854400,116,142,152,1,3,39413578,False
33,The Notorious B.I.G.,spotify:track:2g8HN35AnVGIk7B8yMucww,spotify:artist:5me0Irg2ANcsgc93uaYrpb,Big Poppa,spotify:album:2HTbQ0RHwukKVXAlTmCZP2,252746,Ready To Die The Remaster,2000,party party,,1446854400,116,142,152,1,3,39413578,False
34,The Notorious B.I.G.,spotify:track:5ByAIlEEnxYdvpnezg7HTX,spotify:artist:5me0Irg2ANcsgc93uaYrpb,Juicy,spotify:album:2HTbQ0RHwukKVXAlTmCZP2,302693,Ready To Die The Remaster,2000,party party,,1446854400,116,142,152,1,3,39413578,False
35,D12,spotify:track:4XHQyvbrBsQaaBUW1VvmsL,spotify:artist:5Qi4Bb7a8C0a00NZcA77L0,My Band,spotify:album:61EgDesQnFVyYf2UneM9PQ,298773,D-12 World,2000,party party,,1446854400,116,142,152,1,3,39413578,False
36,Dr. Dre,spotify:track:20LxTsa6936zOlzTWqoPVt,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,The Next Episode,spotify:album:5csXMdS69VOvh8MjyfwkjB,161600,2001,2000,party party,,1446854400,116,142,152,1,3,39413578,False
37,Rick Springfield,spotify:track:5RsUlxLto4NZbhJpqJbHfN,spotify:artist:6IFXsrXBpwbIqtOUOiAa3p,Jessie's Girl,spotify:album:4KKFWTePKtgb6mOwFDqxYa,194120,Working Class Dog,2000,party party,,1446854400,116,142,152,1,3,39413578,False
